Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286791,0.42870888,-0.62923896,-0.6482799,G1,U2OS
SRR11286792,0.22771794,-0.89741564,-0.37787536,G1,U2OS
SRR11286793,-0.7385225,0.609941,0.28732634,G1-G0 transition,U2OS
SRR11286794,-0.005154804,0.8386159,-0.5446988,G1,U2OS
SRR11286795,0.074104354,0.90394187,-0.4211859,G1-G0 transition,U2OS
SRR11286796,-0.0121904425,0.40958703,-0.91218966,G1-G0 transition,U2OS
SRR11286797,0.38551635,0.83848196,-0.38513002,G1,U2OS
SRR11286798,0.55019295,-0.6167209,-0.56297696,G1,U2OS
SRR11286799,-0.4090401,-0.9066995,0.10286992,G1,U2OS
SRR11286800,0.007610698,0.87401474,-0.48583975,G1-G0 transition,U2OS
SRR11286801,-0.05117283,-0.9973245,0.052200336,G1,U2OS
SRR11286804,-0.74229443,0.66287136,-0.097983785,G1-G0 transition,U2OS
SRR11286805,-0.59631294,0.75954765,-0.2598044,G1-G0 transition,U2OS
SRR11286806,-0.38012335,-0.53377616,-0.75537354,G1,U2OS
SRR11286807,-0.9043797,0.27671504,-0.32484806,G1-G0 transition,U2OS
SRR11286808,0.7456363,-0.5039982,-0.43590406,G1,U2OS
SRR11286809,0.24545772,-0.64154744,-0.7267513,G1,U2OS
SRR11286810,0.12391652,-0.9909486,-0.051625792,G1,U2OS
SRR11286811,0.5857773,-0.5349352,-0.60885924,G1,U2OS
SRR11286812,-0.010910978,0.9283937,-0.37143794,G1-G0 transition,U2OS
SRR11286813,0.7414711,-0.4285122,-0.5163311,G1,U2OS
